countryIsoCode,country,indexCode,index,dimension,indicatorCode,indicator,year,value,note
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2013,69.064,
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2014,69.292,
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2015,69.52,
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2016,69.733,
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2017,69.953,
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2018,70.08,
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2019,70.349,
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,68.817,
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2021,67.452,
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2022,70.925,
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2023,71.146,
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),1990,3.220000029,
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),1991,3.493125036,
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),1992,3.766250044,
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),1993,4.039375052,
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),1994,4.31250006,
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),1995,4.585625067,
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),1996,4.858750075,
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),1997,5.131875083,
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),1998,5.405000091,
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),1999,5.678125098,
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2000,5.951250106,
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2001,6.224375114,
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2002,6.497500122,
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2003,6.770625129,
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2004,7.043750137,
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2005,7.316875145,
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2006,7.590000153,
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2007,7.019999981,
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2008,7.070000172,
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2009,7.309999943,
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2010,7.410000086,
