Country_Code,Country_Name,Year,HDI_Value,Life_Expectancy,Education_Years,FDI_Net_Inflows,GDP_Per_Capita,FDI_to_HDI_Ratio,HDI_Level
LAO,Lao People's Democratic Republic,2014,0.597,66.35,5.378414007,867646121.708671,1981.03910900473,1453343587.4517102,Medium
LAO,Lao People's Democratic Republic,2015,0.604,66.688,5.478619371,1077759914.58895,2121.01339097363,1784370719.518129,Medium
LAO,Lao People's Democratic Republic,2016,0.609,67.014,5.572289603,935296172.783646,2303.22156035363,1535790103.0930147,Medium
LAO,Lao People's Democratic Republic,2017,0.612,67.345,5.665959835,1686287305.36006,2432.43059478511,2755371413.987026,Medium
LAO,Lao People's Democratic Republic,2018,0.613,67.594,5.759630067,1358019506.22958,2545.1075420815,2215366241.810081,Medium
LAO,Lao People's Democratic Republic,2019,0.615,67.911,5.853300299,755524124.249368,2589.32081035237,1228494510.974582,Medium
LAO,Lao People's Democratic Republic,2020,0.616,68.339,5.94697053,967706086.202045,2583.77730696131,1570951438.6396835,Medium
LAO,Lao People's Democratic Republic,2021,0.613,67.807,6.06024616,1071913715.60885,2526.05105018529,1748635751.4010603,Medium
LAO,Lao People's Democratic Republic,2022,0.614,68.715,6.06024616,726273736.492143,2046.40440255621,1182856248.358539,Medium
LAO,Lao People's Democratic Republic,2023,0.617,68.964,6.06024616,1781176779.47452,2066.94979776957,2886834326.5389304,Medium
MMR,Myanmar,1990,0.347,57.159,2.220867026,161144560.314889,53.1225401094506,464393545.5760491,Low
MMR,Myanmar,1991,0.354,57.395,2.272047501,238056791.873856,51.2408970610106,672476813.2029831,Low
MMR,Myanmar,1992,0.368,57.681,2.323227975,171558719.974061,58.8896739558883,466192173.84255713,Low
MMR,Myanmar,1993,0.374,58.032,2.37440845,104674233.142371,76.212889482598,279877628.72291714,Low
MMR,Myanmar,1994,0.381,58.326,2.425588925,126091858.49119,105.391561114159,330949759.8193963,Low
MMR,Myanmar,1995,0.385,58.671,2.4767694,277199199.509049,124.14348039051,719997920.8027246,Low
MMR,Myanmar,1996,0.391,59.169,2.548056489,310437074.890386,141.897267580367,793956713.2746445,Low
MMR,Myanmar,1997,0.396,59.523,2.619343579,387184136.000944,108.039770292032,977737717.174101,Low
MMR,Myanmar,1998,0.399,59.896,2.690630669,314450998.907852,145.950830383757,788097741.6236892,Low
MMR,Myanmar,1999,0.406,60.107,2.761917758,253110104.66411,189.490155849067,623423903.1135714,Low
MMR,Myanmar,2000,0.415,60.357,2.833204848,254789765.469466,196.619580625284,613951242.0950989,Low
MMR,Myanmar,2001,0.423,60.64,2.915459182,208303564.372066,141.525660705722,492443414.5911726,Low
MMR,Myanmar,2002,0.433,60.925,2.997713517,150511225.813866,146.598390364449,347600983.4038476,Low
MMR,Myanmar,2003,0.443,61.196,3.079967851,248882510.026366,224.292688912409,561811535.0482303,Low
MMR,Myanmar,2004,0.453,61.443,3.162222185,211364294.975748,224.508811413327,466587847.6285828,Low
MMR,Myanmar,2005,0.463,61.72,3.24447652,234904379.027598,252.685193060728,507352870.4699741,Low
MMR,Myanmar,2006,0.473,62.026,3.343181721,275812653.011391,303.495087119254,583113431.3137231,Low
MMR,Myanmar,2007,0.483,62.367,3.441886922,709922015.309805,419.375780725042,1469817837.0803418,Low
MMR,Myanmar,2008,0.468,56.364,3.540592123,863880447.312828,658.442487229705,1845898391.6940768,Low
MMR,Myanmar,2009,0.504,63.095,3.639297324,1078972200.98264,758.442935789255,2140817859.09254,Low
MMR,Myanmar,2010,0.515,63.479,3.738002525,901133534.876797,1010.53417343401,1749773854.1297028,Low
